,Unnamed: 0,area,bath,bed,date_check,description,features,location,price,property_date,specific_location,toilet,90_perc,10_perc,forsale_flag,date_flag,50_perc,location_rank,terrace_flag,new_flag,serviced_flag,estate_flag,furnish_flag,flag,island
21025,2293,ado,0,1,"Updated 01 May 2020, Added 30 Mar 2020",Miniflat,1 beds 0 baths 0 Toilets,ajah,300000,2020,along addo marketAdo Ajah Lagos,0,710000,230000,0,2,400000,14,0,0,0,0,0,0,Island
21027,2295,ado,1,1,Added 27 Apr 2020,Newly renovated one bedroom flat to let in Langbasa Chinese street,1 beds 1 baths 1 Toilets,ajah,450000,2020,"Chinese street, LangbasaAdo Ajah Lagos",1,710000,230000,0,1,400000,14,0,1,0,0,0,1,Island
21028,2296,ado,1,1,Added 27 Apr 2020,Newly refurbished one bedroom and parlour self contained,1 beds 1 baths 1 Toilets,ajah,350000,2020,"Langbasa, Chinese streetAdo Ajah Lagos",1,710000,230000,0,1,400000,14,0,1,0,0,0,1,Island
21031,2299,ado,2,2,Added 24 Apr 2020,2bedroom,2 beds 2 baths 2 Toilets,ajah,700000,2020,Ado Ajah Lagos,2,1200000,600000,0,1,800000,29,0,0,0,0,0,0,Island
21033,2301,ado,2,2,Added 23 Apr 2020,2,2 beds 2 baths 2 Toilets,ajah,700000,2020,Ado Ajah Lagos,2,1200000,600000,0,1,800000,29,0,0,0,0,0,0,Island
21035,2303,ado,2,2,Added 23 Apr 2020,2,2 beds 2 baths 3 Toilets,ajah,700000,2020,Ado Ajah Lagos,3,1200000,600000,0,1,800000,29,0,0,0,0,0,0,Island
21036,2304,ado,2,2,Added 23 Apr 2020,2,2 beds 2 baths 2 Toilets,ajah,700000,2020,Ado Ajah Lagos,2,1200000,600000,0,1,800000,29,0,0,0,0,0,0,Island
21037,2305,ado,2,2,Added 23 Apr 2020,2,2 beds 2 baths 2 Toilets,ajah,700000,2020,Ado Ajah Lagos,2,1200000,600000,0,1,800000,29,0,0,0,0,0,0,Island
21039,2307,ado,2,2,"Updated 22 Apr 2020, Added 10 Mar 2020",2 bedroom flat,2 beds 2 baths 3 Toilets,ajah,1000000,2020,"Gated Estate, Addo Road Ado Ajah Lagos",3,1200000,600000,0,2,800000,29,0,0,0,0,0,0,Island
21040,2308,ado,2,2,"Updated 22 Apr 2020, Added 13 Mar 2020",2 bedroom flat,2 beds 2 baths 3 Toilets,ajah,1000000,2020,"Gated Estate, Addo Road Ado Ajah Lagos",3,1200000,600000,0,2,800000,29,0,0,0,0,0,0,Island
21041,2309,ado,0,4,"Updated 22 Apr 2020, Added 07 Feb 2020",4 bedroom detached duplex,4 beds 0 baths 0 Toilets,ajah,2800000,2020,ado roadAdo Ajah Lagos,0,3000000,1370000,0,2,2300000,54,2,0,0,0,0,0,Island
21043,2311,ado,4,4,"Updated 22 Apr 2020, Added 03 Feb 2020",4 bedroom detached duplex,4 beds 4 baths 4 Toilets,ajah,2300000,2020,Lekki Palm City Estate Ado Ajah Lagos,4,3000000,1370000,0,2,2300000,54,2,0,0,0,0,0,Island
21045,2313,ado,3,2,Added 18 Apr 2020,"Newly Built 2bedroom On Langbasa, Addo Road. Ajah.",2 beds 3 baths 3 Toilets,ajah,800000,2020,"Langbasa, Addo Road. Ajah.Ado Ajah Lagos",3,1200000,600000,0,1,800000,29,0,1,0,0,0,1,Island
21046,2314,ado,0,3,"Updated 13 Apr 2020, Added 27 Feb 2020",3 bedroom flat,3 beds 0 baths 0 Toilets,ajah,1300000,2020,Off addo roadAdo Ajah Lagos,0,1500000,600000,0,2,925000,33,0,0,0,0,0,0,Island
21047,2315,ado,0,2,"Updated 13 Apr 2020, Added 19 Mar 2020",2 bedroom flat,2 beds 0 baths 0 Toilets,ajah,750000,2020,hARMONY ESTATEAdo Ajah Lagos,0,1200000,600000,0,2,800000,29,0,0,0,0,0,0,Island
21048,2316,ado,2,2,"Updated 13 Apr 2020, Added 18 Mar 2020",2 bedroom flat,2 beds 2 baths 3 Toilets,ajah,700000,2020,Harmony Estate LamgbasaAdo Ajah Lagos,3,1200000,600000,0,2,800000,29,0,0,0,0,0,0,Island
21049,2317,ado,2,2,"Updated 13 Apr 2020, Added 17 Mar 2020",2 bedroom flat,2 beds 2 baths 3 Toilets,ajah,850000,2020,Tunde Afolabi StreetAdo Ajah Lagos,3,1200000,600000,0,2,800000,29,0,0,0,0,0,0,Island
21050,2318,ado,0,1,"Updated 12 Apr 2020, Added 12 Mar 2020",Newly built complex,1 beds baths Toilets,ajah,600000,2020,"Ado Road, AjahAdo Ajah Lagos",0,710000,230000,0,2,400000,14,0,1,0,0,0,1,Island
21052,2320,ado,1,1,Added 05 Apr 2020,A story building,1 beds 1 baths 1 Toilets,ajah,400000,2020,Off ado road Ado Ajah Lagos,1,710000,230000,0,1,400000,14,0,0,0,0,0,0,Island
21053,2321,ado,0,3,"Updated 05 Apr 2020, Added 24 Feb 2020",3 bedroom flat,3 beds 0 baths 0 Toilets,ajah,1300000,2020,Off addo roadAdo Ajah Lagos,0,1500000,600000,0,2,925000,33,0,0,0,0,0,0,Island
21055,2323,ado,2,2,"Updated 27 Mar 2020, Added 11 Feb 2020",Newly Built 2-Bedroom Flat for rent @ Ajah - Ado Road,2 beds 2 baths 3 Toilets,ajah,1000000,2020,Ado Ajah Lagos,3,1200000,600000,0,2,800000,29,0,1,0,0,0,1,Island
21056,2324,ado,1,1,"Updated 27 Mar 2020, Added 27 Feb 2020",1 bedroom self contain,1 beds 1 baths 1 Toilets,ajah,360000,2020,Infinity Estate Along Addo RoadAdo Ajah Lagos,1,710000,230000,0,2,400000,14,0,0,0,0,0,0,Island
21057,2325,ado,0,3,"Updated 27 Mar 2020, Added 14 Feb 2020",3 bedroom flat,3 beds 0 baths 0 Toilets,ajah,1100000,2020,Marshill Estate Addo RoadAdo Ajah Lagos,0,1500000,600000,0,2,925000,33,0,0,0,0,0,0,Island
21059,2327,ado,1,1,Added 23 Mar 2020,Mini Flat,1 beds 1 baths 1 Toilets,ajah,500000,2020,Ado RoadAdo Ajah Lagos,1,710000,230000,0,1,400000,14,0,0,0,0,0,0,Island
21061,2329,ado,1,1,Added 21 Mar 2020,Neat Mini Flat,1 beds 1 baths 1 Toilets,ajah,500000,2020,Ado Ajah Lagos,1,710000,230000,0,1,400000,14,0,0,0,0,0,0,Island
21062,2330,ado,3,2,Added 21 Mar 2020,Spacious 2 Bedroom Flat,2 beds 3 baths 3 Toilets,ajah,900000,2020,Ado Ajah Lagos,3,1200000,600000,0,1,800000,29,0,0,0,0,0,0,Island
21063,2331,ado,4,3,Added 21 Mar 2020,Spacious 3 Bedroom Flat,3 beds 4 baths 4 Toilets,ajah,1200000,2020,Ado Ajah Lagos,4,1500000,600000,0,1,925000,33,0,0,0,0,0,0,Island
21064,2332,ado,0,1,"Updated 21 Mar 2020, Added 18 Feb 2020",Self Contain,1 beds 0 baths 0 Toilets,ajah,250000,2020,"Marshy-hill estate, formerly called AkinsAdo Ajah Lagos",0,710000,230000,0,2,400000,14,0,0,0,0,0,0,Island
21065,2333,ado,0,1,"Updated 16 Mar 2020, Added 18 Feb 2020",Mini flat,1 beds 0 baths 0 Toilets,ajah,400000,2020,"Close To Kekere Bus Stop,Ado Ajah Lagos",0,710000,230000,0,2,400000,14,0,0,0,0,0,0,Island
21066,2334,ado,1,1,Added 14 Mar 2020,A room and parlor self contain,1 beds 1 baths 2 Toilets,ajah,350000,2020,Ado Ajah Lagos,2,710000,230000,0,1,400000,14,0,0,0,0,0,0,Island
21067,2335,ado,3,3,Added 14 Mar 2020,A standard 3 bedroom flat,3 beds 3 baths 4 Toilets,ajah,850000,2020,Ado Ajah Lagos,4,1500000,600000,0,1,925000,33,0,0,0,0,0,0,Island
21068,2336,ado,4,3,Added 14 Mar 2020,Luxury 3 Bedroom Flat,3 beds 4 baths 4 Toilets,ajah,1300000,2020,Ado Ajah Lagos,4,1500000,600000,0,1,925000,33,0,1,0,0,0,1,Island
21069,2337,ado,1,1,"Updated 10 Mar 2020, Added 25 Feb 2020",A room self contain,1 beds 1 baths 1 Toilets,ajah,300000,2020,Ado Ajah Lagos,1,710000,230000,0,2,400000,14,0,0,0,0,0,0,Island
21070,2338,ado,1,1,"Updated 09 Mar 2020, Added 09 Mar 2020",Standard self contained,1 beds 1 baths 1 Toilets,ajah,350000,2020,Plams city estate Ado Ajah Lagos,1,710000,230000,0,2,400000,14,0,0,0,0,0,0,Island
21071,2339,ado,1,1,"Updated 07 Mar 2020, Added 09 Feb 2020","Standard room self contain available for rent in marshy hill estate, addo road, Ajah. Rents : 400k and 450k.",1 beds 1 baths 1 Toilets,ajah,400000,2020,Ado Ajah Lagos,1,710000,230000,0,2,400000,14,0,0,0,1,0,1,Island
21074,2342,ado,0,1,"Updated 07 Mar 2020, Added 07 Feb 2020",1 bedroom self contain,1 beds 0 baths 0 Toilets,ajah,350000,2020,off ado roadAdo Ajah Lagos,0,710000,230000,0,2,400000,14,0,0,0,0,0,0,Island
21075,2343,ado,0,2,"Updated 07 Mar 2020, Added 12 Feb 2020",2 bedroom flat,2 beds 0 baths 0 Toilets,ajah,950000,2020,Zina Estate Beside Blenco Super MarketAdo Ajah Lagos,0,1200000,600000,0,2,800000,29,0,0,0,0,0,0,Island
21076,2344,ado,0,1,"Updated 07 Mar 2020, Added 06 Feb 2020",1 bedroom self contain,1 beds 0 baths 0 Toilets,ajah,250000,2020,"Idowu Estate, Oke Ira Nla Bus Stop, Addo RoadAdo Ajah Lagos",0,710000,230000,0,2,400000,14,0,0,0,0,0,0,Island
21077,2345,ado,0,1,Added 06 Mar 2020,Executive mini flat,1 beds 0 baths 0 Toilets,ajah,300000,2020,AdoAdo Ajah Lagos,0,710000,230000,0,1,400000,14,0,1,0,0,0,1,Island
21079,2347,ado,1,1,"Updated 05 Mar 2020, Added 03 Mar 2020",Room self contain shared apartment,1 beds 1 baths 1 Toilets,ajah,350000,2020,infinity estateAdo Ajah Lagos,1,710000,230000,0,2,400000,14,0,0,0,0,0,0,Island
21080,2348,ado,3,2,Added 04 Mar 2020,2 bedroom flat,2 beds 3 baths 3 Toilets,ajah,800000,2020,"Reservation Estate Owode, Ajah Lagos,Ado Ajah Lagos",3,1200000,600000,0,1,800000,29,0,0,0,0,0,0,Island
21081,2349,ado,1,1,Added 04 Mar 2020,A room self contain,1 beds 1 baths 1 Toilets,ajah,350000,2020,Infinity estateAdo Ajah Lagos,1,710000,230000,0,1,400000,14,0,0,0,0,0,0,Island
21083,2351,ado,1,1,"Updated 02 Mar 2020, Added 02 Mar 2020",A room self contain,1 beds 1 baths 1 Toilets,ajah,350000,2020,Plams city estateAdo Ajah Lagos,1,710000,230000,0,2,400000,14,0,0,0,0,0,0,Island
21084,2352,ado,3,2,Added 02 Mar 2020,"A Newly Built 2 Bedroom Flat apartment, very sharp with a pop finishing and a personal meter.",2 beds 3 baths 4 Toilets,ajah,800000,2020,"Reservation Estate Owode Ajah, Lekki LagosAdo Ajah Lagos",4,1200000,600000,0,1,800000,29,0,1,0,0,0,1,Island
21085,2353,ado,3,3,Added 02 Mar 2020,"A Very Sharp and Spacious Clean Alone in a Compound 3 Bedroom Bungalow with a personal meter, well interlocking compound, security house and a Dog cage",3 beds 3 baths 3 Toilets,ajah,900000,2020,"Owode Ajah, Lekki LagosAdo Ajah Lagos",3,1500000,600000,0,1,925000,33,0,0,0,0,0,0,Island
21086,2354,ado,3,2,Added 29 Feb 2020,"Two bedrooms flat in Ado road, Ajah Lagos",2 beds 3 baths 2 Toilets,ajah,800000,2020,Ado roadAdo Ajah Lagos,2,1200000,600000,0,1,800000,29,0,0,0,0,0,0,Island
21087,2355,ado,1,1,"Updated 29 Feb 2020, Added 30 Jan 2020",Clean Mini Flat,1 beds 1 baths 1 Toilets,ajah,350000,2020,Ado Ajah Lagos,1,710000,230000,0,2,400000,14,0,0,0,0,0,0,Island
21088,2356,ado,4,3,"Updated 29 Feb 2020, Added 29 Jan 2020",3 bedroom terraced bungalow for rent,3 beds 4 baths 4 Toilets,ajah,900000,2020,.Ado Ajah Lagos,4,1500000,600000,0,2,925000,33,1,0,0,0,0,0,Island
21089,2357,ado,0,3,"Updated 29 Feb 2020, Added 29 Jan 2020",3 bedroom terraced bungalow,3 beds 0 baths 0 Toilets,ajah,900000,2020,genesis roadAdo Ajah Lagos,0,1500000,600000,0,2,925000,33,1,0,0,0,0,0,Island
21090,2358,ado,3,2,Added 26 Feb 2020,A very sharp 2 Bedroom Up Stairs apartment with a personal meter,2 beds 3 baths 3 Toilets,ajah,650000,2020,"Salvation Estate, Owode Ado road, Ajah Lekki Lagos.Ado Ajah Lagos",3,1200000,600000,0,1,800000,29,0,0,0,0,0,0,Island
