,location,bed,area,location_rank
0,gbagada,4,atunrase-medina,60
1,gbagada,3,atunrase-medina,46
2,gbagada,4,atunrase-medina,60
3,gbagada,3,atunrase-medina,46
4,gbagada,2,atunrase-medina,35
5,gbagada,4,atunrase-medina,60
6,gbagada,3,atunrase-medina,46
8,gbagada,4,atunrase-medina,60
10,gbagada,1,atunrase-medina,24
11,gbagada,3,atunrase-medina,46
15,gbagada,3,atunrase-medina,46
20,gbagada,1,atunrase-medina,24
21,gbagada,3,atunrase-medina,46
22,gbagada,3,atunrase-medina,46
23,gbagada,3,atunrase-medina,46
25,gbagada,1,atunrase-medina,24
26,gbagada,4,atunrase-medina,60
27,gbagada,4,atunrase-medina,60
28,gbagada,4,atunrase-medina,60
29,gbagada,4,atunrase-medina,60
31,gbagada,4,atunrase-medina,60
33,gbagada,4,atunrase-medina,60
34,gbagada,4,atunrase-medina,60
35,gbagada,2,atunrase-medina,35
38,gbagada,2,atunrase-medina,35
40,gbagada,1,atunrase-medina,24
41,gbagada,3,atunrase-medina,46
44,gbagada,1,atunrase-medina,24
45,gbagada,2,atunrase-medina,35
46,gbagada,3,atunrase-medina,46
47,gbagada,4,atunrase-medina,60
48,gbagada,4,atunrase-medina,60
49,gbagada,4,atunrase-medina,60
50,gbagada,4,atunrase-medina,60
52,gbagada,4,atunrase-medina,60
53,gbagada,3,atunrase-medina,46
54,gbagada,4,atunrase-medina,60
57,gbagada,4,atunrase-medina,60
59,gbagada,1,atunrase-medina,24
61,gbagada,3,atunrase-medina,46
62,gbagada,2,atunrase-medina,35
63,gbagada,3,atunrase-medina,46
64,gbagada,1,atunrase-medina,24
66,gbagada,4,atunrase-medina,60
67,gbagada,1,atunrase-medina,24
68,gbagada,1,atunrase-medina,24
69,gbagada,1,atunrase-medina,24
70,gbagada,1,atunrase-medina,24
71,gbagada,2,atunrase-medina,35
75,gbagada,2,atunrase-medina,35
78,gbagada,4,atunrase-medina,60
79,gbagada,2,atunrase-medina,35
81,gbagada,2,atunrase-medina,35
83,gbagada,3,atunrase-medina,46
88,gbagada,2,atunrase-medina,35
89,gbagada,3,atunrase-medina,46
90,gbagada,3,atunrase-medina,46
91,gbagada,4,atunrase-medina,60
92,gbagada,3,atunrase-medina,46
98,gbagada,3,atunrase-medina,46
101,gbagada,1,atunrase-medina,24
102,gbagada,1,atunrase-medina,24
103,gbagada,3,atunrase-medina,46
105,gbagada,3,atunrase-medina,46
106,gbagada,3,atunrase-medina,46
108,gbagada,1,atunrase-medina,24
110,gbagada,3,atunrase-medina,46
113,gbagada,3,atunrase-medina,46
117,gbagada,3,atunrase-medina,46
119,gbagada,3,atunrase-medina,46
120,gbagada,3,atunrase-medina,46
121,gbagada,3,atunrase-medina,46
122,gbagada,3,atunrase-medina,46
124,gbagada,3,atunrase-medina,46
125,gbagada,3,atunrase-medina,46
126,gbagada,3,atunrase-medina,46
127,gbagada,3,atunrase-medina,46
128,gbagada,3,atunrase-medina,46
129,gbagada,3,atunrase-medina,46
130,gbagada,1,atunrase-medina,24
131,gbagada,1,atunrase-medina,24
133,gbagada,1,atunrase-medina,24
134,gbagada,2,atunrase-medina,35
136,gbagada,3,atunrase-medina,46
137,gbagada,2,atunrase-medina,35
138,gbagada,2,atunrase-medina,35
139,gbagada,2,atunrase-medina,35
140,gbagada,1,atunrase-medina,24
141,gbagada,3,atunrase-medina,46
142,gbagada,2,atunrase-medina,35
143,gbagada,2,atunrase-medina,35
144,gbagada,2,atunrase-medina,35
145,gbagada,3,atunrase-medina,46
147,gbagada,3,atunrase-medina,46
148,gbagada,2,atunrase-medina,35
150,gbagada,2,atunrase-medina,35
152,gbagada,4,atunrase-medina,60
154,gbagada,3,atunrase-medina,46
155,gbagada,4,atunrase-medina,60
157,gbagada,2,atunrase-medina,35
158,gbagada,3,atunrase-medina,46
159,gbagada,2,atunrase-medina,35
160,gbagada,3,atunrase-medina,46
161,gbagada,3,atunrase-medina,46
162,gbagada,3,atunrase-medina,46
163,gbagada,3,atunrase-medina,46
164,gbagada,4,atunrase-medina,60
165,gbagada,3,atunrase-medina,46
167,gbagada,3,atunrase-medina,46
168,gbagada,1,atunrase-medina,24
169,gbagada,4,atunrase-medina,60
170,gbagada,3,atunrase-medina,46
173,gbagada,3,atunrase-medina,46
175,gbagada,2,atunrase-medina,35
176,gbagada,3,atunrase-medina,46
178,gbagada,3,atunrase-medina,46
179,gbagada,2,atunrase-medina,35
181,gbagada,2,atunrase-medina,35
182,gbagada,4,atunrase-medina,60
184,gbagada,4,atunrase-medina,60
185,gbagada,3,atunrase-medina,46
186,gbagada,3,atunrase-medina,46
187,gbagada,2,atunrase-medina,35
188,gbagada,2,atunrase-medina,35
189,gbagada,3,atunrase-medina,46
190,gbagada,3,atunrase-medina,46
192,gbagada,3,atunrase-medina,46
193,gbagada,3,atunrase-medina,46
195,gbagada,3,atunrase-medina,46
196,gbagada,4,atunrase-medina,60
197,gbagada,4,atunrase-medina,60
200,gbagada,3,atunrase-medina,46
202,gbagada,3,atunrase-medina,46
205,gbagada,3,atunrase-medina,46
206,gbagada,3,atunrase-medina,46
209,gbagada,3,atunrase-medina,46
210,gbagada,2,atunrase-medina,35
211,gbagada,3,atunrase-medina,46
212,gbagada,3,atunrase-medina,46
213,gbagada,1,atunrase-medina,24
215,gbagada,3,atunrase-medina,46
216,gbagada,3,atunrase-medina,46
218,gbagada,3,atunrase-medina,46
221,gbagada,4,atunrase-medina,60
222,gbagada,3,atunrase-medina,46
223,gbagada,4,atunrase-medina,60
224,gbagada,3,atunrase-medina,46
225,gbagada,2,atunrase-medina,35
226,gbagada,3,atunrase-medina,46
227,gbagada,3,atunrase-medina,46
228,gbagada,4,atunrase-medina,60
229,gbagada,4,atunrase-medina,60
230,gbagada,1,atunrase-medina,24
231,gbagada,3,atunrase-medina,46
232,gbagada,3,atunrase-medina,46
233,gbagada,4,atunrase-medina,60
234,gbagada,3,atunrase-medina,46
235,gbagada,3,atunrase-medina,46
236,gbagada,3,atunrase-medina,46
237,gbagada,3,atunrase-medina,46
238,gbagada,3,atunrase-medina,46
239,gbagada,3,atunrase-medina,46
241,gbagada,2,atunrase-medina,35
244,gbagada,2,atunrase-medina,35
245,gbagada,2,atunrase-medina,35
247,gbagada,2,atunrase-medina,35
248,gbagada,2,atunrase-medina,35
249,gbagada,1,atunrase-medina,24
252,gbagada,2,atunrase-medina,35
253,gbagada,2,atunrase-medina,35
255,gbagada,1,atunrase-medina,24
294,gbagada,2,ifako-gbagada,32
297,gbagada,2,ifako-gbagada,32
299,gbagada,1,ifako-gbagada,17
300,gbagada,1,ifako-gbagada,17
301,gbagada,1,ifako-gbagada,17
302,gbagada,2,ifako-gbagada,32
304,gbagada,3,ifako-gbagada,38
305,gbagada,3,ifako-gbagada,38
308,gbagada,1,ifako-gbagada,17
310,gbagada,1,ifako-gbagada,17
311,gbagada,3,ifako-gbagada,38
313,gbagada,2,ifako-gbagada,32
314,gbagada,2,ifako-gbagada,32
315,gbagada,2,ifako-gbagada,32
316,gbagada,3,ifako-gbagada,38
319,gbagada,3,ifako-gbagada,38
322,gbagada,3,ifako-gbagada,38
326,gbagada,1,ifako-gbagada,17
327,gbagada,3,ifako-gbagada,38
328,gbagada,1,ifako-gbagada,17
330,gbagada,1,ifako-gbagada,17
331,gbagada,3,ifako-gbagada,38
338,gbagada,1,ifako-gbagada,17
339,gbagada,1,ifako-gbagada,17
340,gbagada,3,ifako-gbagada,38
341,gbagada,2,ifako-gbagada,32
343,gbagada,2,ifako-gbagada,32
348,gbagada,4,ifako-gbagada,53
352,gbagada,3,ifako-gbagada,38
354,gbagada,3,ifako-gbagada,38
356,gbagada,1,ifako-gbagada,17
357,gbagada,1,ifako-gbagada,17
358,gbagada,2,ifako-gbagada,32
359,gbagada,3,ifako-gbagada,38
360,gbagada,1,ifako-gbagada,17
361,gbagada,3,ifako-gbagada,38
362,gbagada,3,ifako-gbagada,38
363,gbagada,3,ifako-gbagada,38
365,gbagada,2,ifako-gbagada,32
367,gbagada,3,ifako-gbagada,38
368,gbagada,3,ifako-gbagada,38
369,gbagada,4,ifako-gbagada,53
371,gbagada,2,ifako-gbagada,32
372,gbagada,1,ifako-gbagada,17
373,gbagada,3,ifako-gbagada,38
375,gbagada,3,ifako-gbagada,38
377,gbagada,1,ifako-gbagada,17
378,gbagada,2,ifako-gbagada,32
381,gbagada,2,ifako-gbagada,32
385,gbagada,3,ifako-gbagada,38
389,gbagada,2,ifako-gbagada,32
391,gbagada,3,ifako-gbagada,38
393,gbagada,2,ifako-gbagada,32
397,gbagada,3,ifako-gbagada,38
398,gbagada,3,ifako-gbagada,38
399,gbagada,3,ifako-gbagada,38
400,gbagada,2,ifako-gbagada,32
401,gbagada,2,ifako-gbagada,32
402,gbagada,2,ifako-gbagada,32
404,gbagada,1,ifako-gbagada,17
406,gbagada,3,ifako-gbagada,38
407,gbagada,2,ifako-gbagada,32
411,gbagada,2,ifako-gbagada,32
412,gbagada,3,ifako-gbagada,38
413,gbagada,3,ifako-gbagada,38
414,gbagada,3,ifako-gbagada,38
415,gbagada,2,ifako-gbagada,32
417,gbagada,3,ifako-gbagada,38
418,gbagada,2,ifako-gbagada,32
419,gbagada,2,ifako-gbagada,32
421,gbagada,1,ifako-gbagada,17
424,gbagada,4,ifako-gbagada,53
428,gbagada,4,ifako-gbagada,53
431,gbagada,3,ifako-gbagada,38
437,gbagada,3,ifako-gbagada,38
438,gbagada,4,ifako-gbagada,53
440,gbagada,3,ifako-gbagada,38
441,gbagada,3,ifako-gbagada,38
442,gbagada,1,ifako-gbagada,17
443,gbagada,1,ifako-gbagada,17
444,gbagada,1,ifako-gbagada,17
445,gbagada,2,ifako-gbagada,32
451,gbagada,3,ifako-gbagada,38
452,gbagada,1,ifako-gbagada,17
453,gbagada,1,ifako-gbagada,17
455,gbagada,4,ifako-gbagada,53
456,gbagada,1,ifako-gbagada,17
458,gbagada,3,ifako-gbagada,38
460,gbagada,3,ifako-gbagada,38
463,gbagada,3,ifako-gbagada,38
465,gbagada,3,ifako-gbagada,38
466,gbagada,1,ifako-gbagada,17
467,gbagada,2,ifako-gbagada,32
469,gbagada,3,ifako-gbagada,38
470,gbagada,2,ifako-gbagada,32
473,gbagada,3,ifako-gbagada,38
474,gbagada,3,ifako-gbagada,38
478,gbagada,2,ifako-gbagada,32
481,gbagada,1,ifako-gbagada,17
483,gbagada,2,ifako-gbagada,32
486,gbagada,1,ifako-gbagada,17
487,gbagada,2,ifako-gbagada,32
488,gbagada,4,ifako-gbagada,53
489,gbagada,1,ifako-gbagada,17
490,gbagada,1,ifako-gbagada,17
491,gbagada,1,ifako-gbagada,17
493,gbagada,2,ifako-gbagada,32
495,gbagada,4,ifako-gbagada,53
496,gbagada,3,ifako-gbagada,38
497,gbagada,2,ifako-gbagada,32
499,gbagada,2,ifako-gbagada,32
500,gbagada,1,ifako-gbagada,17
501,gbagada,2,ifako-gbagada,32
502,gbagada,3,ifako-gbagada,38
503,gbagada,3,ifako-gbagada,38
505,gbagada,3,ifako-gbagada,38
506,gbagada,3,ifako-gbagada,38
507,gbagada,3,ifako-gbagada,38
508,gbagada,1,ifako-gbagada,17
509,gbagada,1,ifako-gbagada,17
510,gbagada,1,ifako-gbagada,17
511,gbagada,1,ifako-gbagada,17
515,gbagada,1,ifako-gbagada,17
516,gbagada,3,ifako-gbagada,38
519,gbagada,1,ifako-gbagada,17
520,gbagada,1,ifako-gbagada,17
521,gbagada,1,ifako-gbagada,17
522,gbagada,1,ifako-gbagada,17
524,gbagada,1,ifako-gbagada,17
525,gbagada,1,ifako-gbagada,17
526,gbagada,2,ifako-gbagada,32
527,gbagada,2,ifako-gbagada,32
529,gbagada,1,ifako-gbagada,17
530,gbagada,3,ifako-gbagada,38
531,gbagada,1,ifako-gbagada,17
532,gbagada,1,ifako-gbagada,17
533,gbagada,2,ifako-gbagada,32
535,gbagada,2,ifako-gbagada,32
536,gbagada,2,ifako-gbagada,32
540,gbagada,2,ifako-gbagada,32
542,gbagada,2,ifako-gbagada,32
545,gbagada,3,ifako-gbagada,38
546,gbagada,3,ifako-gbagada,38
547,gbagada,2,ifako-gbagada,32
548,gbagada,3,ifako-gbagada,38
552,gbagada,2,ifako-gbagada,32
556,gbagada,3,ifako-gbagada,38
557,gbagada,1,ifako-gbagada,17
558,gbagada,1,ifako-gbagada,17
560,gbagada,2,ifako-gbagada,32
564,gbagada,2,ifako-gbagada,32
568,gbagada,2,ifako-gbagada,32
572,gbagada,2,ifako-gbagada,32
573,gbagada,3,ifako-gbagada,38
577,gbagada,2,ifako-gbagada,32
578,gbagada,1,ifako-gbagada,17
580,gbagada,1,ifako-gbagada,17
581,gbagada,3,ifako-gbagada,38
582,gbagada,3,ifako-gbagada,38
584,gbagada,1,ifako-gbagada,17
585,gbagada,2,ifako-gbagada,32
586,gbagada,1,ifako-gbagada,17
587,gbagada,3,ifako-gbagada,38
588,gbagada,1,ifako-gbagada,17
590,gbagada,3,ifako-gbagada,38
592,gbagada,1,ifako-gbagada,17
593,gbagada,2,ifako-gbagada,32
594,gbagada,3,ifako-gbagada,38
595,gbagada,3,ifako-gbagada,38
596,gbagada,2,ifako-gbagada,32
599,gbagada,3,ifako-gbagada,38
600,gbagada,3,ifako-gbagada,38
601,gbagada,4,ifako-gbagada,53
602,gbagada,3,ifako-gbagada,38
603,gbagada,1,ifako-gbagada,17
606,gbagada,1,ifako-gbagada,17
608,gbagada,1,ifako-gbagada,17
609,gbagada,1,ifako-gbagada,17
611,gbagada,2,ifako-gbagada,32
612,gbagada,2,ifako-gbagada,32
613,gbagada,3,ifako-gbagada,38
614,gbagada,1,ifako-gbagada,17
615,gbagada,2,ifako-gbagada,32
617,gbagada,2,ifako-gbagada,32
619,gbagada,1,ifako-gbagada,17
621,gbagada,1,ifako-gbagada,17
622,gbagada,1,ifako-gbagada,17
624,gbagada,1,ifako-gbagada,17
625,gbagada,4,ifako-gbagada,53
626,gbagada,1,ifako-gbagada,17
627,gbagada,1,ifako-gbagada,17
628,gbagada,3,ifako-gbagada,38
630,gbagada,2,ifako-gbagada,32
631,gbagada,1,ifako-gbagada,17
632,gbagada,3,ifako-gbagada,38
636,gbagada,4,ifako-gbagada,53
640,gbagada,2,ifako-gbagada,32
643,gbagada,3,ifako-gbagada,38
644,gbagada,3,ifako-gbagada,38
646,gbagada,3,ifako-gbagada,38
647,gbagada,3,ifako-gbagada,38
648,gbagada,4,ifako-gbagada,53
651,gbagada,2,ifako-gbagada,32
652,gbagada,2,ifako-gbagada,32
654,gbagada,3,ifako-gbagada,38
656,gbagada,3,ifako-gbagada,38
661,gbagada,2,ifako-gbagada,32
662,gbagada,4,ifako-gbagada,53
664,gbagada,3,ifako-gbagada,38
665,gbagada,2,ifako-gbagada,32
666,gbagada,2,ifako-gbagada,32
667,gbagada,1,ifako-gbagada,17
669,gbagada,3,ifako-gbagada,38
670,gbagada,2,ifako-gbagada,32
673,gbagada,2,ifako-gbagada,32
675,gbagada,2,ifako-gbagada,32
676,gbagada,1,ifako-gbagada,17
677,gbagada,3,ifako-gbagada,38
678,gbagada,3,ifako-gbagada,38
679,gbagada,4,ifako-gbagada,53
687,gbagada,1,ifako-gbagada,17
688,gbagada,4,ifako-gbagada,53
689,gbagada,2,ifako-gbagada,32
690,gbagada,4,ifako-gbagada,53
691,gbagada,1,ifako-gbagada,17
692,gbagada,3,ifako-gbagada,38
695,gbagada,1,ifako-gbagada,17
698,gbagada,1,ifako-gbagada,17
699,gbagada,2,ifako-gbagada,32
700,gbagada,3,ifako-gbagada,38
703,gbagada,3,ifako-gbagada,38
704,gbagada,1,ifako-gbagada,17
705,gbagada,3,ifako-gbagada,38
707,gbagada,2,ifako-gbagada,32
708,gbagada,3,ifako-gbagada,38
709,gbagada,2,ifako-gbagada,32
710,gbagada,3,ifako-gbagada,38
711,gbagada,1,ifako-gbagada,17
713,gbagada,1,ifako-gbagada,17
716,gbagada,3,ifako-gbagada,38
717,gbagada,3,ifako-gbagada,38
719,gbagada,3,ifako-gbagada,38
720,gbagada,3,ifako-gbagada,38
721,gbagada,2,ifako-gbagada,32
722,gbagada,1,ifako-gbagada,17
726,gbagada,3,ifako-gbagada,38
727,gbagada,2,ifako-gbagada,32
728,gbagada,3,ifako-gbagada,38
729,gbagada,3,ifako-gbagada,38
731,gbagada,3,ifako-gbagada,38
733,gbagada,2,ifako-gbagada,32
734,gbagada,2,ifako-gbagada,32
735,gbagada,3,ifako-gbagada,38
736,gbagada,3,ifako-gbagada,38
737,gbagada,3,ifako-gbagada,38
738,gbagada,3,ifako-gbagada,38
739,gbagada,3,ifako-gbagada,38
741,gbagada,2,ifako-gbagada,32
742,gbagada,3,ifako-gbagada,38
743,gbagada,1,ifako-gbagada,17
745,gbagada,3,ifako-gbagada,38
746,gbagada,2,ifako-gbagada,32
747,gbagada,2,ifako-gbagada,32
749,gbagada,3,ifako-gbagada,38
750,gbagada,1,ifako-gbagada,17
752,gbagada,1,ifako-gbagada,17
753,gbagada,1,ifako-gbagada,17
754,gbagada,3,ifako-gbagada,38
756,gbagada,3,ifako-gbagada,38
757,gbagada,1,ifako-gbagada,17
758,gbagada,3,ifako-gbagada,38
759,gbagada,3,ifako-gbagada,38
761,gbagada,3,ifako-gbagada,38
763,gbagada,2,ifako-gbagada,32
766,gbagada,1,ifako-gbagada,17
767,gbagada,1,ifako-gbagada,17
768,gbagada,1,ifako-gbagada,17
769,gbagada,1,ifako-gbagada,17
771,gbagada,3,ifako-gbagada,38
773,gbagada,3,ifako-gbagada,38
774,gbagada,4,ifako-gbagada,53
775,gbagada,2,ifako-gbagada,32
779,gbagada,2,ifako-gbagada,32
780,gbagada,2,ifako-gbagada,32
783,gbagada,3,ifako-gbagada,38
784,gbagada,2,ifako-gbagada,32
788,gbagada,2,ifako-gbagada,32
789,gbagada,3,ifako-gbagada,38
790,gbagada,3,ifako-gbagada,38
792,gbagada,3,ifako-gbagada,38
793,gbagada,2,ifako-gbagada,32
794,gbagada,2,ifako-gbagada,32
795,gbagada,3,ifako-gbagada,38
796,gbagada,3,ifako-gbagada,38
797,gbagada,2,ifako-gbagada,32
798,gbagada,2,ifako-gbagada,32
799,gbagada,3,ifako-gbagada,38
800,gbagada,3,ifako-gbagada,38
802,gbagada,3,ifako-gbagada,38
803,gbagada,3,ifako-gbagada,38
804,gbagada,3,ifako-gbagada,38
805,gbagada,3,ifako-gbagada,38
809,gbagada,3,ifako-gbagada,38
810,gbagada,3,ifako-gbagada,38
811,gbagada,2,ifako-gbagada,32
812,gbagada,2,ifako-gbagada,32
813,gbagada,2,ifako-gbagada,32
816,gbagada,3,ifako-gbagada,38
817,gbagada,2,ifako-gbagada,32
819,gbagada,1,ifako-gbagada,17
820,gbagada,2,ifako-gbagada,32
821,gbagada,2,ifako-gbagada,32
822,gbagada,2,ifako-gbagada,32
823,gbagada,3,ifako-gbagada,38
825,gbagada,2,ifako-gbagada,32
827,gbagada,2,ifako-gbagada,32
829,gbagada,2,ifako-gbagada,32
830,gbagada,4,ifako-gbagada,53
832,gbagada,2,ifako-gbagada,32
833,gbagada,2,ifako-gbagada,32
834,gbagada,2,ifako-gbagada,32
835,gbagada,1,ifako-gbagada,17
836,gbagada,3,ifako-gbagada,38
837,gbagada,3,ifako-gbagada,38
839,gbagada,3,ifako-gbagada,38
840,gbagada,3,ifako-gbagada,38
842,gbagada,2,ifako-gbagada,32
843,gbagada,2,ifako-gbagada,32
844,gbagada,2,ifako-gbagada,32
846,gbagada,3,ifako-gbagada,38
847,gbagada,4,ifako-gbagada,53
848,gbagada,3,ifako-gbagada,38
851,gbagada,3,ifako-gbagada,38
853,gbagada,3,ifako-gbagada,38
854,gbagada,3,ifako-gbagada,38
855,gbagada,1,ifako-gbagada,17
856,gbagada,3,ifako-gbagada,38
857,gbagada,4,ifako-gbagada,53
858,gbagada,1,ifako-gbagada,17
860,gbagada,2,ifako-gbagada,32
862,gbagada,2,ifako-gbagada,32
864,gbagada,2,ifako-gbagada,32
865,gbagada,3,ifako-gbagada,38
866,gbagada,3,ifako-gbagada,38
867,gbagada,3,ifako-gbagada,38
868,gbagada,3,ifako-gbagada,38
869,gbagada,3,ifako-gbagada,38
871,gbagada,3,ifako-gbagada,38
872,gbagada,1,ifako-gbagada,17
875,gbagada,2,ifako-gbagada,32
876,gbagada,3,ifako-gbagada,38
879,gbagada,3,ifako-gbagada,38
880,gbagada,3,ifako-gbagada,38
882,gbagada,3,ifako-gbagada,38
883,gbagada,2,ifako-gbagada,32
884,gbagada,2,ifako-gbagada,32
885,gbagada,2,ifako-gbagada,32
886,gbagada,1,ifako-gbagada,17
888,gbagada,2,ifako-gbagada,32
890,gbagada,2,ifako-gbagada,32
892,gbagada,1,ifako-gbagada,17
894,gbagada,4,ifako-gbagada,53
896,gbagada,3,ifako-gbagada,38
898,gbagada,1,ifako-gbagada,17
899,gbagada,1,ifako-gbagada,17
901,gbagada,1,ifako-gbagada,17
903,gbagada,1,ifako-gbagada,17
905,gbagada,2,ifako-gbagada,32
906,gbagada,2,ifako-gbagada,32
907,gbagada,2,ifako-gbagada,32
909,gbagada,3,ifako-gbagada,38
910,gbagada,2,ifako-gbagada,32
911,gbagada,2,ifako-gbagada,32
913,gbagada,3,ifako-gbagada,38
914,gbagada,2,ifako-gbagada,32
915,gbagada,3,ifako-gbagada,38
918,gbagada,3,ifako-gbagada,38
919,gbagada,3,ifako-gbagada,38
921,gbagada,2,ifako-gbagada,32
922,gbagada,1,ifako-gbagada,17
923,gbagada,3,ifako-gbagada,38
924,gbagada,3,ifako-gbagada,38
925,gbagada,2,ifako-gbagada,32
926,gbagada,2,ifako-gbagada,32
927,gbagada,3,ifako-gbagada,38
928,gbagada,2,ifako-gbagada,32
929,gbagada,3,ifako-gbagada,38
930,gbagada,2,ifako-gbagada,32
931,gbagada,3,ifako-gbagada,38
932,gbagada,1,ifako-gbagada,17
934,gbagada,2,ifako-gbagada,32
935,gbagada,3,ifako-gbagada,38
936,gbagada,3,ifako-gbagada,38
937,gbagada,3,ifako-gbagada,38
938,gbagada,1,ifako-gbagada,17
940,gbagada,3,ifako-gbagada,38
941,gbagada,3,ifako-gbagada,38
943,gbagada,2,ifako-gbagada,32
944,gbagada,1,ifako-gbagada,17
945,gbagada,2,ifako-gbagada,32
946,gbagada,1,ifako-gbagada,17
948,gbagada,2,ifako-gbagada,32
949,gbagada,2,ifako-gbagada,32
950,gbagada,1,ifako-gbagada,17
953,gbagada,3,ifako-gbagada,38
956,gbagada,1,ifako-gbagada,17
957,gbagada,1,ifako-gbagada,17
959,gbagada,3,ifako-gbagada,38
961,gbagada,3,ifako-gbagada,38
962,gbagada,3,ifako-gbagada,38
963,gbagada,2,ifako-gbagada,32
964,gbagada,2,ifako-gbagada,32
965,gbagada,2,ifako-gbagada,32
970,gbagada,3,ifako-gbagada,38
971,gbagada,3,ifako-gbagada,38
972,gbagada,2,ifako-gbagada,32
973,gbagada,3,ifako-gbagada,38
974,gbagada,2,ifako-gbagada,32
976,gbagada,2,ifako-gbagada,32
978,gbagada,3,ifako-gbagada,38
979,gbagada,3,ifako-gbagada,38
980,gbagada,3,ifako-gbagada,38
982,gbagada,2,ifako-gbagada,32
983,gbagada,3,ifako-gbagada,38
984,gbagada,3,ifako-gbagada,38
986,gbagada,3,ifako-gbagada,38
987,gbagada,3,ifako-gbagada,38
988,gbagada,2,ifako-gbagada,32
989,gbagada,3,ifako-gbagada,38
990,gbagada,1,ifako-gbagada,17
991,gbagada,2,ifako-gbagada,32
992,gbagada,3,ifako-gbagada,38
993,gbagada,4,ifako-gbagada,53
995,gbagada,3,ifako-gbagada,38
997,gbagada,3,ifako-gbagada,38
998,gbagada,3,ifako-gbagada,38
999,gbagada,2,ifako-gbagada,32
1001,gbagada,3,ifako-gbagada,38
1002,gbagada,1,ifako-gbagada,17
1003,gbagada,3,ifako-gbagada,38
1004,gbagada,3,ifako-gbagada,38
1005,gbagada,3,ifako-gbagada,38
1006,gbagada,3,ifako-gbagada,38
1007,gbagada,1,ifako-gbagada,17
1008,gbagada,3,ifako-gbagada,38
1009,gbagada,3,ifako-gbagada,38
1010,gbagada,3,ifako-gbagada,38
1011,gbagada,2,ifako-gbagada,32
1012,gbagada,2,ifako-gbagada,32
1013,gbagada,3,ifako-gbagada,38
1015,gbagada,2,ifako-gbagada,32
1020,gbagada,3,ifako-gbagada,38
1021,gbagada,1,ifako-gbagada,17
1022,gbagada,2,ifako-gbagada,32
1023,gbagada,2,ifako-gbagada,32
1024,gbagada,3,ifako-gbagada,38
1026,gbagada,2,ifako-gbagada,32
1029,gbagada,2,ifako-gbagada,32
1030,gbagada,3,ifako-gbagada,38
1032,gbagada,3,ifako-gbagada,38
1033,gbagada,3,ifako-gbagada,38
1034,gbagada,3,ifako-gbagada,38
1035,gbagada,2,ifako-gbagada,32
1037,gbagada,2,ifako-gbagada,32
1039,gbagada,3,ifako-gbagada,38
1040,gbagada,3,ifako-gbagada,38
1041,gbagada,2,ifako-gbagada,32
1042,gbagada,3,ifako-gbagada,38
1044,gbagada,1,ifako-gbagada,17
1045,gbagada,2,ifako-gbagada,32
1047,gbagada,3,ifako-gbagada,38
1048,gbagada,4,ifako-gbagada,53
1049,gbagada,3,ifako-gbagada,38
1051,gbagada,3,ifako-gbagada,38
1053,gbagada,1,ifako-gbagada,17
1054,gbagada,2,ifako-gbagada,32
1055,gbagada,4,ifako-gbagada,53
1056,gbagada,1,ifako-gbagada,17
1057,gbagada,1,ifako-gbagada,17
1064,gbagada,2,ifako-gbagada,32
1065,gbagada,3,ifako-gbagada,38
1068,gbagada,3,ifako-gbagada,38
1069,gbagada,3,ifako-gbagada,38
1070,gbagada,4,ifako-gbagada,53
1071,gbagada,3,ifako-gbagada,38
1072,gbagada,3,ifako-gbagada,38
1075,gbagada,3,ifako-gbagada,38
1076,gbagada,4,ifako-gbagada,53
1077,gbagada,1,ifako-gbagada,17
1078,gbagada,3,ifako-gbagada,38
1079,gbagada,1,ifako-gbagada,17
1081,gbagada,3,ifako-gbagada,38
1083,gbagada,1,ifako-gbagada,17
1084,gbagada,1,ifako-gbagada,17
1086,gbagada,1,ifako-gbagada,17
1087,gbagada,2,ifako-gbagada,32
1089,gbagada,2,ifako-gbagada,32
1091,gbagada,3,ifako-gbagada,38
1093,gbagada,2,ifako-gbagada,32
1094,gbagada,4,ifako-gbagada,53
1095,gbagada,1,ifako-gbagada,17
1096,gbagada,3,ifako-gbagada,38
1098,gbagada,1,ifako-gbagada,17
1099,gbagada,2,ifako-gbagada,32
1100,gbagada,3,ifako-gbagada,38
1102,gbagada,1,ifako-gbagada,17
1103,gbagada,3,ifako-gbagada,38
1105,gbagada,2,ifako-gbagada,32
1106,gbagada,2,ifako-gbagada,32
1107,gbagada,1,ifako-gbagada,17
1108,gbagada,3,ifako-gbagada,38
1110,gbagada,3,ifako-gbagada,38
1112,gbagada,3,ifako-gbagada,38
1113,gbagada,3,ifako-gbagada,38
1116,gbagada,1,ifako-gbagada,17
1117,gbagada,2,ifako-gbagada,32
1118,gbagada,2,ifako-gbagada,32
1119,gbagada,2,ifako-gbagada,32
1124,gbagada,2,ifako-gbagada,32
1125,gbagada,2,ifako-gbagada,32
1126,gbagada,1,ifako-gbagada,17
1128,gbagada,4,ifako-gbagada,53
1129,gbagada,1,ifako-gbagada,17
1131,gbagada,1,ifako-gbagada,17
1132,gbagada,1,ifako-gbagada,17
1133,gbagada,1,ifako-gbagada,17
1135,gbagada,4,ifako-gbagada,53
1137,gbagada,3,ifako-gbagada,38
1139,gbagada,2,ifako-gbagada,32
1140,gbagada,2,ifako-gbagada,32
1144,gbagada,3,ifako-gbagada,38
1147,gbagada,1,ifako-gbagada,17
